id,sex,有名人のファッションを参考にする,異性の目を気にする,奇抜なファッションが好き,TPOに気をつかう,体型をカバーできる服を買う,好きなブランドがある
1270,女性,No,Yes,No,Yes,Yes,Yes
1271,男性,Yes,Yes,Yes,Yes,Yes,Yes
1272,女性,No,No,No,Yes,No,No
1273,女性,No,No,No,No,Yes,No
1274,女性,Yes,No,Yes,Yes,No,No
1275,女性,No,No,No,Yes,No,No
1276,女性,No,No,No,No,No,No
1277,男性,Yes,No,No,No,No,No
1278,男性,No,Yes,No,No,Yes,Yes
1279,男性,No,No,No,No,No,Yes
1280,女性,No,Yes,No,Yes,Yes,No
1281,女性,No,No,No,Yes,Yes,No
1282,男性,No,Yes,Yes,Yes,No,Yes
1283,女性,Yes,No,No,Yes,Yes,Yes
1284,女性,No,Yes,No,Yes,No,No
1285,女性,No,No,No,No,No,Yes
1286,男性,No,Yes,No,No,No,No
1287,女性,Yes,No,No,Yes,No,Yes
1288,女性,No,No,No,Yes,No,No
1289,女性,No,No,No,Yes,Yes,No
1290,女性,No,No,Yes,Yes,No,No
1291,女性,No,No,No,No,No,Yes
1292,女性,Yes,No,No,No,No,No
1293,女性,No,Yes,No,Yes,No,No
1294,女性,No,Yes,No,Yes,No,Yes
1295,女性,Yes,No,No,No,No,No
1296,女性,No,No,No,No,No,No
1297,女性,No,No,Yes,Yes,No,Yes
1298,男性,Yes,No,No,No,No,No
1299,女性,No,No,No,Yes,No,Yes
1300,女性,No,No,No,Yes,Yes,No
1301,女性,Yes,No,Yes,Yes,Yes,No
1302,女性,No,No,No,No,Yes,No
1303,男性,No,No,No,No,No,No
1304,女性,No,No,No,No,Yes,No
1305,女性,No,No,No,No,No,No
1306,女性,No,No,No,No,Yes,No
1307,女性,No,No,No,No,No,No
1308,女性,No,No,No,Yes,No,Yes
1309,女性,No,No,No,Yes,No,No
1310,女性,No,No,Yes,Yes,No,No
1311,女性,No,No,Yes,Yes,Yes,No
1312,男性,No,No,Yes,No,No,No
1313,女性,Yes,No,No,Yes,No,Yes
1314,女性,No,No,No,Yes,No,No
1315,男性,No,Yes,No,Yes,No,Yes
1316,女性,No,No,No,No,Yes,No
1317,男性,No,No,Yes,No,Yes,Yes
1318,男性,No,No,No,No,No,No
1319,女性,Yes,Yes,No,Yes,No,No
1320,男性,Yes,No,Yes,Yes,No,No
1321,女性,No,No,No,Yes,No,No
1322,男性,No,Yes,No,Yes,No,Yes
1323,女性,No,No,No,No,No,No
1324,男性,No,No,No,No,No,No
1325,女性,Yes,No,No,Yes,No,No
1326,女性,No,No,Yes,Yes,No,Yes
1327,女性,No,No,No,Yes,No,No
1328,女性,Yes,No,Yes,No,No,No
1329,女性,No,No,No,Yes,No,No
1330,女性,No,No,No,Yes,No,No
1331,女性,Yes,No,No,Yes,No,No
1332,男性,No,Yes,No,No,No,No
1333,女性,No,No,No,Yes,No,Yes
1334,女性,No,No,Yes,No,No,No
1335,女性,No,No,No,Yes,No,Yes
1336,女性,No,Yes,No,Yes,No,No
1337,女性,No,No,No,No,No,Yes
1338,男性,No,No,No,No,No,No
1339,女性,No,No,No,No,No,No
1340,女性,No,No,No,No,No,No
1341,女性,No,No,No,Yes,No,Yes
1342,女性,No,No,No,No,Yes,No
1343,女性,No,No,No,Yes,No,No
1344,女性,No,Yes,No,No,No,No
1345,女性,No,No,No,Yes,Yes,Yes
1346,男性,No,No,No,Yes,No,No
1347,女性,No,Yes,No,Yes,No,Yes
1348,女性,No,No,No,Yes,Yes,No
1349,女性,No,No,No,No,No,No
1350,女性,No,No,No,Yes,No,No
1351,女性,No,No,No,No,No,No
1352,女性,No,No,No,No,No,No
1353,女性,No,No,No,Yes,No,No
1354,女性,No,No,No,No,No,No
1355,女性,No,Yes,No,Yes,Yes,No
1356,女性,No,No,No,Yes,Yes,No
1357,女性,No,No,No,Yes,Yes,Yes
1358,女性,Yes,No,No,Yes,No,Yes
1359,女性,No,No,No,No,Yes,Yes
1360,男性,No,No,No,No,No,Yes
1361,女性,No,No,No,Yes,No,No
1362,女性,No,No,No,No,Yes,Yes
1363,女性,No,No,No,No,Yes,No
1364,女性,No,No,No,Yes,No,No
1365,女性,No,Yes,No,No,No,No
1366,女性,No,No,No,No,Yes,Yes
1367,女性,No,No,No,Yes,No,Yes
1368,男性,No,No,No,Yes,No,No
1369,女性,No,No,No,No,Yes,No
1370,男性,Yes,No,No,No,No,Yes
1371,男性,No,No,No,Yes,No,No
1372,女性,Yes,No,No,No,No,No
1373,女性,Yes,No,No,Yes,No,No
1374,女性,No,No,No,No,No,No
1375,女性,Yes,No,No,No,No,No
1376,女性,No,No,No,No,No,No
1377,女性,No,No,No,Yes,No,Yes
1378,女性,No,No,Yes,Yes,No,No
1379,女性,No,No,No,No,No,Yes
1380,男性,No,No,No,No,No,No
1381,女性,Yes,No,No,No,No,No
1382,女性,No,No,No,No,No,No
1383,女性,No,No,No,Yes,No,No
1384,女性,Yes,No,No,Yes,Yes,Yes
1385,女性,No,No,No,Yes,No,No
1386,女性,No,No,No,No,No,Yes
1387,女性,No,Yes,No,No,Yes,No
1388,女性,No,No,No,Yes,No,No
1389,女性,Yes,No,Yes,No,No,No
1390,女性,Yes,No,No,Yes,No,No
1391,男性,Yes,No,No,No,No,Yes
1392,女性,No,No,No,Yes,Yes,No
1393,女性,No,No,No,No,Yes,Yes
1394,女性,No,No,No,Yes,No,No
1395,男性,No,No,No,Yes,No,Yes
1396,女性,No,No,Yes,No,No,No
1397,男性,Yes,No,No,No,No,No
1398,女性,No,Yes,No,Yes,Yes,No
1399,男性,No,No,No,No,No,No
1400,女性,Yes,No,No,Yes,No,No
1401,女性,No,No,No,No,Yes,Yes
1402,女性,Yes,No,No,No,No,Yes
1403,女性,No,No,No,No,No,No
1404,男性,No,Yes,No,Yes,No,No
1405,女性,No,No,No,No,No,Yes
1406,女性,No,No,No,Yes,No,Yes
1407,女性,No,No,No,Yes,No,Yes
1408,女性,No,No,No,Yes,Yes,No
1409,女性,Yes,No,No,Yes,No,No
1410,女性,Yes,Yes,No,No,No,No
1411,女性,No,No,No,Yes,Yes,No
1412,女性,No,No,No,Yes,No,No
1413,女性,No,No,No,No,Yes,No
1414,女性,No,No,No,No,No,Yes
1415,女性,Yes,No,No,Yes,No,Yes
1416,男性,No,No,Yes,Yes,No,No
1417,男性,No,No,No,No,No,Yes
1418,女性,No,No,No,Yes,No,No
1419,女性,No,No,No,No,No,No
1420,女性,No,No,No,Yes,No,No
1421,男性,Yes,Yes,No,No,No,Yes
1422,女性,No,No,No,Yes,No,No
1423,女性,No,No,Yes,No,No,No
1424,男性,No,No,No,Yes,No,No
1425,男性,No,No,No,Yes,No,Yes
1426,男性,No,No,No,No,Yes,Yes
1427,女性,No,No,No,No,No,No
1428,女性,No,No,No,Yes,Yes,No
1429,女性,No,No,No,Yes,No,Yes
1430,女性,Yes,Yes,No,No,Yes,Yes
1431,女性,Yes,No,No,Yes,No,No
1432,女性,No,No,No,No,No,No
1433,女性,Yes,No,No,Yes,No,Yes
1434,女性,No,No,No,Yes,No,No
1435,男性,Yes,No,No,No,Yes,No
1436,女性,No,No,No,Yes,Yes,Yes
1437,女性,No,No,No,No,No,No
1438,女性,No,No,No,Yes,Yes,No
1439,男性,Yes,Yes,No,No,No,No
1440,女性,No,No,Yes,Yes,No,Yes
1441,女性,No,No,No,Yes,No,Yes
1442,男性,No,No,No,Yes,No,Yes
1443,女性,Yes,No,No,Yes,No,No
1444,女性,No,No,No,Yes,Yes,Yes
1445,男性,No,No,No,No,No,Yes
1446,男性,Yes,Yes,No,Yes,No,Yes
1447,女性,No,No,No,Yes,No,No
1448,男性,Yes,Yes,No,Yes,No,Yes
1449,女性,No,No,Yes,No,No,Yes
1450,女性,Yes,No,No,Yes,Yes,No
1451,女性,No,No,No,No,No,No
1452,女性,No,No,No,No,Yes,Yes
1453,男性,No,No,No,Yes,No,Yes
1454,女性,No,No,No,No,No,No
1455,男性,No,No,No,No,Yes,Yes
1456,男性,No,No,No,Yes,No,No
1457,女性,No,No,No,Yes,No,No
1458,男性,No,No,No,Yes,No,Yes
1459,男性,No,Yes,Yes,Yes,No,Yes
1460,男性,No,Yes,No,Yes,No,Yes
1461,女性,No,No,No,Yes,Yes,Yes
1462,女性,No,No,No,No,No,No
1463,男性,No,No,No,Yes,No,No
1464,男性,No,No,No,No,No,No
1465,女性,No,No,Yes,Yes,Yes,Yes
1466,女性,Yes,No,No,Yes,No,No
1467,男性,No,No,Yes,No,No,No
1468,男性,Yes,Yes,No,Yes,No,No
1469,女性,No,No,No,No,No,Yes
1470,女性,No,No,No,No,Yes,No
1471,女性,No,No,No,Yes,No,No
1472,女性,No,No,No,No,Yes,No
1473,男性,No,No,Yes,Yes,No,No
1474,女性,Yes,No,No,Yes,Yes,No
1475,女性,No,No,No,No,Yes,No
1476,女性,Yes,No,Yes,Yes,No,No
1477,男性,No,No,No,No,No,Yes
1478,男性,No,No,No,Yes,No,Yes
1479,女性,No,No,No,Yes,No,No
1480,女性,No,No,No,No,Yes,No
1481,女性,Yes,Yes,No,Yes,Yes,Yes
1482,男性,No,No,No,No,No,No
1483,女性,No,No,Yes,Yes,Yes,Yes
1484,男性,No,No,No,No,No,No
1485,女性,Yes,Yes,No,Yes,Yes,Yes
1486,女性,Yes,No,Yes,Yes,No,Yes
1487,女性,No,No,No,No,No,No
1488,女性,No,No,No,No,No,No
1489,女性,Yes,No,No,Yes,Yes,No
1490,男性,No,No,No,No,No,Yes
1491,男性,No,No,No,Yes,No,Yes
1492,女性,No,No,Yes,Yes,Yes,Yes
1493,男性,No,Yes,No,Yes,No,No
1494,女性,No,No,Yes,Yes,No,Yes
1495,男性,No,No,No,Yes,No,No
1496,女性,Yes,No,Yes,No,No,Yes
1497,女性,No,No,No,Yes,Yes,No
1498,女性,No,Yes,No,No,No,No
1499,男性,Yes,Yes,No,No,No,Yes
1500,男性,No,No,No,No,No,Yes
1501,男性,No,No,No,No,No,No
1502,女性,No,No,No,Yes,Yes,Yes
1503,男性,No,Yes,Yes,No,No,No
1504,女性,No,No,No,Yes,No,Yes
1505,女性,No,No,No,No,No,No
1506,女性,Yes,No,No,No,No,Yes
1507,男性,No,No,No,No,No,No
1508,女性,Yes,No,No,No,No,No
1509,女性,No,No,No,Yes,No,No
1510,男性,Yes,Yes,No,No,No,Yes
1511,女性,No,No,No,Yes,No,No
1512,男性,Yes,Yes,Yes,No,No,No
1513,男性,No,Yes,No,No,No,Yes
1514,女性,Yes,No,Yes,Yes,No,Yes
1515,女性,No,No,No,Yes,Yes,Yes
1516,女性,Yes,No,No,Yes,Yes,No
1517,女性,No,No,No,Yes,No,No
1518,女性,No,Yes,No,No,No,No
1519,女性,Yes,Yes,Yes,No,No,No
1520,女性,Yes,No,Yes,Yes,Yes,No
1521,女性,No,Yes,No,Yes,No,Yes
1522,男性,No,No,No,No,No,No
1523,男性,No,No,No,No,No,No
1524,男性,No,No,No,No,No,No
1525,女性,No,No,No,No,No,No
1526,男性,Yes,Yes,No,Yes,Yes,Yes
1527,女性,No,No,No,Yes,No,No
1528,女性,No,No,No,Yes,Yes,Yes
1529,女性,No,No,No,Yes,No,No
1530,女性,No,Yes,No,Yes,No,No
1531,男性,No,No,No,No,No,Yes
1532,女性,No,No,No,No,No,No
1533,女性,Yes,No,No,Yes,No,No
1534,女性,No,No,No,Yes,No,Yes
1535,男性,No,No,No,Yes,No,No
1536,男性,Yes,Yes,No,Yes,No,No
1537,男性,No,No,No,No,No,Yes
1538,女性,No,No,No,No,Yes,No
1539,女性,Yes,No,Yes,Yes,No,No
1540,女性,No,No,No,Yes,No,No
1541,男性,No,No,No,Yes,No,No
1542,女性,No,No,No,No,Yes,Yes
1543,女性,No,No,No,No,Yes,No
1544,男性,No,No,Yes,Yes,No,Yes
1545,女性,Yes,No,No,No,No,No
1546,女性,Yes,Yes,No,Yes,No,Yes
1547,女性,No,No,No,Yes,No,No
1548,女性,No,No,No,Yes,Yes,No
1549,女性,No,Yes,No,Yes,Yes,Yes
1550,女性,No,No,No,No,No,Yes
1551,男性,No,No,No,No,No,No
1552,女性,No,No,No,No,Yes,No
1553,女性,Yes,No,No,No,No,Yes
1554,男性,Yes,No,Yes,Yes,No,Yes
1555,女性,No,No,No,Yes,No,No
1556,女性,No,No,No,Yes,Yes,No
1557,男性,No,No,No,Yes,No,Yes
1558,女性,No,Yes,No,Yes,No,No
1559,女性,No,No,Yes,Yes,No,No
1560,男性,Yes,No,Yes,No,No,No
1561,女性,No,No,No,Yes,No,Yes
1562,女性,No,No,Yes,No,No,No
1563,女性,No,No,No,No,No,No
1564,女性,No,Yes,No,Yes,No,Yes
1565,女性,No,No,No,Yes,No,No
1566,女性,No,No,No,Yes,No,No
1567,男性,No,No,No,Yes,No,No
1568,男性,No,No,No,Yes,No,Yes
1569,女性,No,No,No,No,No,No
1570,女性,Yes,Yes,No,Yes,No,No
1571,女性,Yes,No,No,Yes,Yes,No
1572,男性,No,No,No,Yes,No,Yes
1573,女性,Yes,No,No,Yes,No,No
1574,男性,No,No,No,No,No,No
1575,女性,No,No,No,Yes,No,No
1576,女性,No,No,No,Yes,No,Yes
1577,女性,No,No,No,No,No,Yes
1578,女性,Yes,No,No,Yes,Yes,Yes
1579,女性,No,No,No,Yes,Yes,No
1580,男性,No,No,No,Yes,No,Yes
1581,男性,Yes,No,No,No,No,No
1582,男性,No,No,No,No,No,No
1583,男性,No,No,No,Yes,No,No
1584,女性,No,No,No,Yes,No,No
1585,女性,Yes,No,No,No,No,No
1586,女性,No,No,No,Yes,No,No
1587,男性,No,No,No,Yes,No,Yes
1588,女性,Yes,No,No,No,Yes,No
1589,女性,Yes,No,Yes,No,Yes,No
1590,女性,Yes,No,Yes,No,No,Yes
1591,女性,No,No,Yes,Yes,Yes,Yes
1592,男性,No,No,No,Yes,No,Yes
1593,女性,Yes,No,No,Yes,No,No
1594,男性,No,No,No,Yes,No,Yes
1595,女性,No,No,No,Yes,No,No
1596,女性,No,No,No,No,No,Yes
1597,女性,No,No,No,No,Yes,No
1598,女性,No,No,Yes,Yes,No,No
1599,女性,No,No,No,Yes,Yes,No
1600,女性,No,No,Yes,Yes,No,No
1601,女性,No,No,No,No,No,Yes
1602,女性,No,No,No,No,Yes,No
1603,女性,Yes,No,Yes,Yes,No,Yes
1604,男性,No,No,No,Yes,No,No
1605,女性,Yes,No,No,No,No,No
1606,女性,Yes,No,No,No,Yes,No
1607,女性,No,No,No,No,No,No
1608,女性,Yes,No,No,Yes,No,No
1609,男性,No,Yes,No,Yes,No,No
1610,男性,No,Yes,Yes,Yes,No,No
1611,女性,No,No,No,Yes,No,No
1612,男性,No,No,No,No,No,No
1613,男性,No,No,No,Yes,No,No
1614,女性,No,No,No,Yes,No,No
1615,女性,Yes,No,Yes,Yes,Yes,Yes
1616,女性,No,No,No,Yes,Yes,No
1617,女性,No,No,Yes,Yes,No,No
1618,女性,No,No,No,No,No,No
1619,男性,No,No,No,No,No,No
1620,女性,No,No,No,Yes,No,No
1621,男性,No,No,No,No,No,No
1622,男性,No,No,No,No,No,No
1623,女性,Yes,No,Yes,Yes,Yes,Yes
1624,男性,No,Yes,No,Yes,No,No
1625,男性,No,No,No,Yes,No,Yes
1626,女性,Yes,No,No,Yes,No,Yes
1627,女性,No,No,No,No,No,No
1628,女性,Yes,No,No,No,Yes,No
1629,女性,Yes,No,No,Yes,No,No
1630,男性,No,No,No,Yes,No,Yes
1631,女性,No,No,No,No,Yes,Yes
1632,女性,Yes,Yes,No,No,No,Yes
1633,女性,No,No,No,No,No,No
1634,女性,Yes,No,No,Yes,No,No
1635,女性,No,No,No,No,No,No
1636,男性,Yes,No,Yes,No,No,Yes
1637,女性,Yes,Yes,No,Yes,Yes,Yes
1638,女性,No,No,No,No,Yes,Yes
1639,男性,No,No,No,Yes,No,No
1640,女性,No,Yes,No,Yes,No,Yes
1641,女性,No,No,Yes,No,Yes,Yes
1642,女性,No,Yes,No,Yes,No,No
1643,女性,No,No,No,No,No,No
1644,女性,No,No,No,No,Yes,No
1645,女性,Yes,No,No,No,Yes,Yes
1646,女性,Yes,No,No,No,Yes,No
1647,女性,No,No,No,No,No,No
1648,男性,Yes,No,No,No,No,No
1649,男性,No,Yes,No,No,No,No
1650,女性,No,No,Yes,Yes,Yes,No
1651,女性,Yes,No,No,Yes,No,No
1652,女性,No,No,No,No,No,No
1653,女性,No,No,No,Yes,No,No
1654,男性,Yes,Yes,No,No,No,No
1655,女性,Yes,No,No,No,Yes,Yes
1656,女性,Yes,No,No,Yes,No,Yes
1657,男性,No,No,No,Yes,No,No
1658,男性,Yes,Yes,Yes,No,No,No
1659,女性,Yes,No,No,Yes,No,No
1660,女性,No,No,Yes,Yes,No,Yes
1661,女性,No,No,No,Yes,Yes,Yes
1662,男性,No,No,No,Yes,No,No
1663,女性,No,No,No,Yes,No,No
1664,女性,No,No,No,Yes,No,No
1665,女性,Yes,No,No,No,No,No
1666,女性,No,No,No,Yes,Yes,No
1667,女性,No,No,No,Yes,No,Yes
1668,女性,No,Yes,No,Yes,No,No
1669,女性,Yes,No,No,No,Yes,No
1670,男性,No,No,No,No,No,No
1671,男性,No,Yes,No,No,No,No
1672,女性,No,No,No,No,Yes,Yes
1673,女性,No,Yes,No,Yes,Yes,No
1674,女性,No,Yes,No,Yes,Yes,No
1675,女性,No,No,No,No,No,No
1676,男性,No,No,No,Yes,No,Yes
1677,女性,No,No,No,Yes,No,No
1678,男性,Yes,No,No,No,No,No
1679,女性,No,No,No,No,Yes,No
1680,女性,No,No,No,Yes,No,No
1681,男性,Yes,No,No,Yes,No,Yes
1682,女性,No,No,Yes,No,Yes,Yes
1683,男性,Yes,Yes,Yes,Yes,No,Yes
1684,女性,No,No,No,No,No,Yes
1685,女性,No,Yes,No,Yes,Yes,Yes
1686,女性,No,No,No,Yes,No,Yes
1687,女性,No,No,No,No,Yes,No
1688,女性,Yes,No,No,No,No,No
1689,男性,No,No,No,No,No,No
1690,女性,No,No,No,Yes,No,Yes
1691,女性,No,No,No,Yes,No,No
1692,女性,No,No,No,No,No,No
1693,女性,No,No,No,Yes,No,No
1694,女性,No,No,Yes,No,Yes,No
1695,男性,No,No,No,Yes,No,Yes
1696,女性,No,No,No,No,No,No
1697,女性,No,No,Yes,No,No,Yes
1698,女性,No,No,No,No,No,No
1699,女性,No,No,No,Yes,Yes,Yes
1700,女性,Yes,Yes,Yes,No,No,No
1701,女性,No,No,Yes,Yes,No,No
1702,女性,Yes,No,No,Yes,No,No
1703,女性,No,No,Yes,No,No,Yes
1704,女性,No,No,No,Yes,No,Yes
1705,女性,Yes,No,No,No,Yes,Yes
1706,女性,No,No,No,Yes,No,No
1707,女性,No,No,No,Yes,No,No
1708,女性,Yes,No,Yes,Yes,No,Yes
1709,男性,Yes,Yes,No,No,No,Yes
1710,女性,Yes,No,No,No,No,No
1711,女性,No,No,No,Yes,No,Yes
1712,女性,No,No,No,Yes,No,Yes
1713,男性,Yes,No,No,No,No,No
1714,女性,No,No,No,Yes,Yes,No
1715,女性,No,Yes,No,Yes,No,Yes
1716,女性,Yes,No,No,Yes,Yes,No
1717,女性,No,No,No,Yes,No,No
1718,女性,No,No,No,Yes,No,No
1719,女性,Yes,No,No,No,Yes,Yes
1720,女性,No,No,No,Yes,Yes,No
1721,女性,No,Yes,No,No,No,No
1722,女性,No,Yes,No,No,No,Yes
1723,女性,No,No,No,Yes,Yes,No
1724,女性,No,Yes,No,Yes,No,Yes
1725,女性,No,No,No,No,No,Yes
1726,男性,No,No,Yes,No,No,No
1727,女性,No,No,No,Yes,Yes,No
1728,女性,No,No,Yes,No,No,No
1729,男性,No,No,No,Yes,No,Yes
1730,女性,Yes,No,Yes,Yes,No,Yes
1731,女性,No,No,No,Yes,Yes,Yes
1732,女性,No,No,Yes,Yes,No,No
1733,男性,Yes,No,Yes,Yes,No,No
1734,女性,No,No,Yes,Yes,No,No
1735,女性,No,No,No,No,No,No
1736,女性,No,No,No,Yes,No,No
1737,女性,No,No,No,Yes,No,No
1738,男性,Yes,No,No,No,No,No
1739,女性,No,No,No,No,Yes,No
1740,女性,No,No,No,No,No,No
1741,男性,No,No,No,No,No,No
1742,女性,No,No,No,Yes,Yes,No
1743,男性,No,No,No,Yes,No,Yes
1744,女性,No,No,No,No,No,No
1745,女性,No,No,Yes,No,Yes,Yes
1746,女性,No,No,Yes,Yes,No,Yes
1747,男性,No,No,Yes,No,No,No
1748,女性,No,No,No,Yes,No,No
1749,女性,No,No,No,Yes,No,Yes
1750,女性,No,No,No,Yes,Yes,No
1751,女性,No,No,No,No,Yes,Yes
1752,女性,No,No,No,Yes,No,Yes
1753,女性,No,No,Yes,No,Yes,Yes
1754,女性,No,No,No,Yes,No,No
1755,男性,No,Yes,No,No,No,No
1756,女性,No,No,No,No,Yes,Yes
1757,女性,Yes,Yes,No,Yes,No,Yes
1758,女性,No,No,No,No,Yes,No
1759,男性,Yes,Yes,No,Yes,No,Yes
1760,女性,No,No,No,Yes,No,Yes
1761,女性,No,No,No,No,No,Yes
1762,女性,No,No,No,Yes,No,No
1763,女性,Yes,No,No,Yes,Yes,No
1764,女性,Yes,No,No,Yes,No,No
1765,女性,Yes,No,No,Yes,No,No
1766,男性,No,No,No,No,No,Yes
1767,女性,No,No,No,Yes,No,No
1768,男性,Yes,No,No,No,No,Yes
1769,女性,No,No,No,Yes,No,Yes
1770,女性,No,No,Yes,Yes,Yes,Yes
1771,女性,No,No,No,Yes,Yes,Yes
1772,男性,No,No,No,Yes,No,No
1773,女性,No,No,No,Yes,No,Yes
1774,男性,No,No,No,Yes,No,No
1775,女性,No,No,No,Yes,Yes,No
1776,女性,Yes,No,No,No,No,No
1777,男性,No,No,No,No,Yes,No
1778,女性,No,No,No,Yes,Yes,No
1779,女性,No,No,No,No,No,No
1780,女性,No,No,Yes,Yes,No,Yes
1781,女性,Yes,No,No,Yes,No,Yes
1782,女性,No,No,No,Yes,Yes,Yes
1783,女性,Yes,No,No,Yes,No,No
1784,女性,No,No,No,No,No,No
1785,女性,Yes,No,Yes,Yes,No,No
1786,女性,No,No,Yes,No,No,No
1787,女性,No,No,No,Yes,No,Yes
1788,女性,Yes,Yes,Yes,Yes,Yes,Yes
1789,女性,No,No,No,No,No,No
1790,女性,Yes,Yes,No,No,Yes,No
1791,男性,No,Yes,No,Yes,No,Yes
1792,男性,Yes,No,Yes,No,No,Yes
1793,女性,No,No,No,Yes,Yes,Yes
1794,女性,No,No,No,Yes,No,Yes
1795,女性,No,Yes,No,Yes,No,Yes
1796,男性,No,No,No,Yes,No,No
1797,男性,No,No,No,Yes,No,No
1798,女性,No,No,No,Yes,No,Yes
1799,女性,Yes,No,Yes,Yes,No,Yes
1800,女性,No,No,No,Yes,Yes,No
1801,女性,No,No,No,Yes,No,No
1802,女性,No,No,No,No,No,Yes
1803,女性,No,No,No,Yes,No,Yes
1804,男性,No,Yes,Yes,No,No,No
1805,女性,Yes,No,No,Yes,No,Yes
1806,女性,No,No,No,Yes,No,No
1807,女性,No,No,No,Yes,No,Yes
1808,女性,No,No,No,No,Yes,No
1809,女性,No,No,No,Yes,Yes,No
1810,女性,No,No,No,Yes,No,Yes
1811,男性,No,Yes,No,No,No,No
1812,女性,No,No,No,No,Yes,Yes
1813,男性,Yes,No,No,Yes,No,Yes
1814,女性,No,No,No,No,Yes,No
1815,女性,No,No,Yes,No,No,No
1816,男性,No,No,No,Yes,No,No
1817,女性,No,No,No,Yes,Yes,Yes
1818,男性,Yes,No,No,No,No,Yes
1819,女性,No,No,No,Yes,No,No
1820,男性,Yes,Yes,No,No,No,No
1821,女性,No,No,No,No,Yes,Yes
1822,女性,No,No,No,Yes,No,Yes
1823,女性,Yes,No,No,No,No,No
1824,女性,No,No,No,Yes,No,No
1825,女性,No,No,No,No,No,No
1826,女性,No,No,No,No,No,Yes
1827,女性,No,No,No,Yes,Yes,No
1828,女性,No,No,No,No,Yes,No
1829,男性,No,No,Yes,Yes,No,Yes
1830,女性,No,No,No,No,No,No
1831,女性,No,No,No,Yes,No,No
1832,女性,No,No,No,Yes,No,No
1833,女性,Yes,No,No,Yes,No,No
1834,女性,Yes,No,No,Yes,Yes,Yes
1835,女性,No,Yes,No,Yes,No,No
1836,女性,No,No,No,Yes,No,No
1837,女性,No,No,No,No,No,Yes
1838,女性,Yes,No,No,Yes,No,No
1839,男性,Yes,No,No,No,No,Yes
1840,女性,Yes,No,Yes,No,No,No
1841,女性,No,No,No,Yes,Yes,No
1842,女性,No,No,No,Yes,No,No
1843,女性,No,No,No,Yes,No,Yes
1844,女性,No,No,Yes,No,Yes,No
1845,女性,No,No,Yes,Yes,Yes,No
1846,男性,No,No,No,Yes,No,Yes
1847,男性,Yes,Yes,No,No,No,No
1848,女性,No,No,No,Yes,No,No
1849,女性,Yes,No,No,Yes,Yes,Yes
1850,女性,No,No,No,No,No,No
1851,女性,Yes,No,Yes,Yes,Yes,Yes
1852,男性,No,No,No,Yes,No,No
1853,男性,No,No,No,Yes,No,Yes
1854,女性,No,No,No,No,No,No
1855,男性,Yes,No,No,No,No,Yes
1856,女性,Yes,No,No,Yes,No,Yes
1857,女性,No,Yes,No,Yes,No,No
1858,女性,No,No,No,No,No,No
1859,男性,No,No,No,No,No,Yes
1860,女性,No,No,Yes,No,No,No
1861,女性,No,No,No,Yes,Yes,No
1862,女性,Yes,Yes,No,No,No,No
1863,女性,Yes,No,No,No,No,No
1864,女性,No,No,No,Yes,No,No
1865,女性,No,No,No,Yes,No,No
1866,女性,No,No,No,Yes,No,Yes
1867,男性,No,No,No,Yes,No,No
1868,女性,No,No,No,Yes,Yes,Yes
1869,男性,No,No,No,No,No,No
1870,女性,No,No,Yes,No,No,Yes
1871,女性,No,No,No,No,No,Yes
1872,女性,Yes,No,No,No,No,No
1873,女性,No,No,No,No,Yes,Yes
1874,女性,No,No,Yes,No,No,No
1875,女性,No,No,No,No,Yes,No
1876,女性,Yes,No,No,Yes,Yes,Yes
1877,女性,No,No,No,Yes,No,No
1878,男性,No,Yes,No,Yes,No,No
1879,女性,No,No,No,No,No,No
1880,男性,No,No,No,Yes,Yes,Yes
1881,女性,No,No,No,Yes,No,No
1882,男性,Yes,No,Yes,Yes,No,No
1883,女性,No,No,No,No,Yes,No
1884,女性,No,No,No,Yes,No,No
